,,,,,,,,,,
194,Лесная копоть,Жёсткая яма лесной копоти,Furt1k,-10219,-1450,450,-1277,-181,03.03.2023,-
195,привет Алиса,скромный человечек построил ямочку,upakowka,-14110,-8447,500,-1777,-1055,04.03.2023,
196,Коперская народная республика,Единственное место на сп без кирла,svin_goool,17100,505,2000,2134,83,05.03.2023,-
197,"Колония Хутакпаз 
Сити",-,AlcGamer137,24801,23867,2000,3100,2983,05.03.2023,-
198,тупо башня,-,galaganfet1,23160,7950,300,2895,998,05.03.2023,-
199,Gutterra,,Gutelbergn,24880,-5460,1000,3110,-669,06.03.2023,-
200,Допустим,Место для фермы тотемов,Ne0ni,17695,12520,1000,2210,1563,06.03.2023,-
201,Артград,Место зарождения предметов искусства,Windrath,-14830,-9196,750,-1847,-1150,07.03.2023,-
202,Кирби!,"Большой позитивный кирби!!! Он сидит в спасательном круге по среди океана, чисто чилит. в нём мой дом и реси.",Medych,-6871,-121,400,-858,-15,15.03.2023,
203,Рыбный  купол,"купол под водой, есть небольшой водоём с ловлей рыбы",artim2,6065,1437,100,764,180,08.03.2023,
204,"Главный Офис ""ОКБР""",Место базирования Частной Охранной Компании,ToriLandori,42,-11736,350,-1478,5,10.03.2023,
205,Грибная поляна,это наши грибы и мы их едим,Murom,16000,-400,500,2000,0,10.03.2023,
206,Магазин Артов,-,Radiograf,-1509,2666,150,-124,392,10.03.2023,-
207,Водяная яма,-,Vodash_,19800,-4110,1500,2471,-495,10.03.2023,-
208,Луковые поля,"Территория игрока OriginalTric, где он сидит и распивает чаи, отдыхает и просто АФКшит.",OriginalTric,13942,-2400,900,1742,-300,10.03.2023,-
209,Территория ZAVINIL3,частная база игрока ZAVINIL3,ZAVINIL3,131,17496,45,10,2196,11.03.2023,-
210,Шахта Леруа Мерлен,Шахта для добычи руд и разных ископаемых,Pablorich,-107,14107,2000,-15,1761,11.03.2023,-
211,Dota2 enjoyers,База дотеров,NopyNice,16,22467,1000,18,2792,11.03.2023,-
212,Naval base,Отсутствует,Akovi,-23815,-3552,1000,-2976,-441,12.03.2023,-
213,Чилл-терра Добряков,"Территория для друзей, чилла и РП",K1ndM4n,-23848,-9488,1000,-2981,-1186,12.03.2023,-
214,База ProstaCh'ка,-,ProstaChek_55555,-12417,6527,100,-1552,818,12.03.2023,
215,Терра Mibra_421,Терра,Mibra_421,933,5673,1000,116,-709,12.03.2023,-
216,Ксепомская база,Обширные снежные леса,XEPOM,-257,17155,500,-4,2153,13.03.2023,-
217,"Лютая 
фармилка",6 спавнеро в радиусе 100 блоков,Mr_Nyawka,-3095,22604,500,-387,2825,13.03.2023,-
218,Святой толчёк,База Super_Klepa и B1acWh1te. Никому не рады).,B1ackWh1te,314,-18557,250,37,-2324,14.03.2023,-
219,КартошкаЛенд,-,Kartoxa11,14790,5193,1500,1840,647,16.03.2023,-
220,Территория Ta4Er06,"пожилая территория, зарегистрирована 06.10.22 входит в ТСКП",Ta4Er06,-14800,-10600,2000,-1850,-1325,06.10.2022,https://vk.com/topic-131054616_48663772?post=4199
221,"Территория
Salam0n",тупа тера с мангровым болотом в 4 чанка,Salam0n,-10500,-17300,2000,-1312,-2160,07.10.2022,https://vk.com/topic-131054616_48663772?post=4215
222,Забивная база ,яма забивера,FishOfr,11637,935,2000,1469,104,18.03.2023,-
223,База игрока no4n1k,"Личная база, вход только для своих",no4n1k,-23586,1363,125,-2945,170,18.03.2023,-
224,bitcoin,город для крутышак и забиверов из чвк редан -если вы НИКИТА идите нахуй -влажитесь в наш город -если вы зек вам сюда мы вам любим,_sataa_,-10747,-245,500,-1342,-29,18.03.2023,-
225,Пенёк,Пень,Arhitoshka,9204,-2284,200,1150,-293,18.03.2023,-
226,Тальпа,Ваурн,0ligofren,-13500,-10500,1000,-1690,-1320,23.06.2022,https://vk.com/topic-131054616_48663772?post=4052
227,крутой,крутой,shhhhweeeps,-11273,-540,600,-1416,-55,22.03.2023,-
228,Чивапчича,-,SirTulpa,15716,6028,500,1967,751,22.03.2023,-
229,Территория feretok,Небольшая территория под яму,feretok,-14072,-8424,400,-1777,-1060,18.05.2023,-
230,Поселок Киев,поселение петрухи и викторови ча где проходят ярморки и крещение руси,Peta20001000,1380,-24869,150,174,-3097,23.03.2023,-
231,Site-02,-,TuRTiK,-7906,-20818,2000,991,2610,23.03.2023,-
232,Туган як,Временная база? c возможным развитием до города,Bukhanka1234,-17158,-1404,300,-2155,-180,24.03.2023,-
233,Череп титана,Моя база типо с домиком я там живу,Hinila,32,-8000,150,10,-1000,25.03.2023,-
234,Кладбище NeUrыlSonic,"Приходи сюда, мы тебя напоим и закопаем..",NeuralSonic,22875,2366,500,2848,295,26.03.2023,-
235,нету,нету,ch4klvn,-6907,-3689,500,-867,-440,27.03.2023,
236,Контора строителей,-,pyhlash,-3984,20001,100,-488,241,27.03.2023,-
237,Жора крыс,крутая хайповая территория,Sleeper77713,1909,18080,2000,237,2262,28.03.2023,-
238,усатый унитаз,-,mega_ponos,-3633,-24682,1000,-460,-3100,01.04.2023,-
239,Территория Артов,на данной территории строятся великолепные арты и также на базе происходит матриархат.,"baby_cady, 
DariaWolker",13314,389,750,1659,4,03.04.2023,-
240,Я тупой,это правда,ArcticAssassin18,-13900,-5900,750,-1737,737,05.04.2023,-
241,-,-,_CyMaCLLIeDLLIu_,-16473,5515,300,-2060,682,05.04.2023,-
242,Таганрог,Таганрог Великий,Soup_p,529,23137,1500,63,2892,05.04.2023,-
243,Комплекс ферм и развлечений,"Фермы и 
развлечения
",avatar4ikk4,19200,-6400,750,2400,-796,06.04.2023,-
244,parashik megaBASE,Личная база,parashik,14230,6270,1300,1800,780,09.04.2023,-
245,база NoelleMain,-,NoelleMain,-18000,250,200,-2250,31,15.04.2023,-
246,Меерланд-Саар,"Город сосских колонистов на берега
х тёплых морей",_DeN41k_,-8240,-6064,208,-1030,-758,16.04.2023,-
247,Яма Велса,-,MrWels_,4874,-14670,1600,608,-1835,16.04.2023,-
248,Подгородне,Тупа халупа пожилая,Algrinus,17778,-8421,1200,2222,1052,16.04.2023,-
249,СноуГрад,Будет горнолыжный курорт,Wh1skyYy,7688,-5156,1000,976,-685,16.04.2023,-
250,Чипсянск,Хата Чипсера и админа,una4ipser,-11224,8640,2000,-1389,1081,20.04.2023,-
251,Арктос,-,mr_4ayka,2360,-11900,350,205,-1487,23.04.2023,-
252,База TheMaxDid,"База двух игроков, желающий разбогатеть, но которые заходят на сп редко(",TheMaxDid,-20864,7359,500,-2651,917,23.04.2023,-
253,база repu1ation,ахахахахах,repu1ation,21000,1600,500,2625,200,24.04.2023,-
254,База Argentoz,-, Argentoz,-393,-13879,200,-42,-1743,27.04.2023,-
255,P.M.,-,Pee_Pe_Poo_Po,23419,5041,450,2927,630,28.04.2023,-
256,Avangard,"Группа друзей, строим фермы и развиваемся. ",FallenIzAntihypa,3037,-11435,600,380,-1431,28.04.2023,-
257,Himirym,Моя база (реально) ,Himirym,53,-11392,1000,21,-1426,28.04.2023,-
258,хз,база овоща,kapyctka,8251,-5287,300,1042,-677,30.04.2023,-
259,Актиний,Место открыто для всех!,Loma2000,18254,-3615,1000,2282,-452,30.04.2023,-
260,LighteeFB,Небольшое поселение с уклоном на добычу,Neon_Lighteer,73,5343,1000,19,674,05.05.2023,-
261,База игрока Fr3d7_,-,Fr3d7_,-19436,167,500,-2424,22,06.05.2023,-
262,личная база Radiograf- а,ну просто моя база с фермами и всяким,Radiograf,5220,20590,500,653,2563,07.05.2023,-
263,База,база игрока Zabba505,5opka,-16320,-10050,500,-2040,-1257,08.05.2023,-
264,чупапи,муняня,triple_six_x7,614,-7034,500,76,-879,08.05.2023,-
265,Грибной Остров,Тенхническая база с грибочками,KWAisenBerg,-9850,16100,500,-1230,2010,09.05.2023,-
266,Хинкальня,Соло бейз блатного дедхинкаля,deadHinkal,710,10578,1000,-103,1333,10.05.2023,-
267,LiveBurg,"База DWT, ZBT и ко.",DizWasTaken,352,-3552,400,44,-444,10.05.2023,-
268,Амогусные падлы,ладно,Mificheskiy,-3545,19300,2000,-438,2406,11.05.2023,-
270,Киберпупок,-,SK1L1,-2066,25000,1000,-258,3075,15.05.2023,-
271,"хейтеры 
лемикса","тут не
рады лемиксам",Blackwhite1188,17744,5072,2000,2220,635,17.05.2023,-
272,LapyLand,"База для схрона, чила и всё такое...",xLapuly,5000,14000,1000,625,1750,18.05.2023,
273,"территория
NESPOSOBNOST",огромная меса с кучей ништяков,"NESPOSOBNO
ST",-22100,-23200,1000,-2760,-2900,18.05.2023,
274,База ChaosGay,Территория с фермами игрока ChaosGay,ChaosGay,120,-8215,400,6,-1027,19.05.2023,-
275,Мохтаун,Территория Arti556 и его друзей!,Arti556,-2673,13321,500,1679,-338,19.05.2023,-
276,База игрока Fr3d7_,-,Fr3d7_,-23384,-13000,1500,-2922,-1624,20.05.2023,-
277,Территория Ulyban'a,"Зeлёная поляна с 
холмом",Ulyban,264,22670,384,33,2833,20.05.2023,-
278,База бурильщика,База анального буравчика,AnalniyBuravchik,22100,-2200,1700,2762,-275,21.05.2023,-
279,База клепы,cool,Stolox66,-22088,5064,1000,-2761,633,21.05.2023,-
280,SungВинея,четкая база крутого игрока,SungTher,893,-9080,200,113,-1135,22.05.2023,-
281,_KripYt_,просто база _KripYt_,5opka,-17000,1400,500,-2102,183,23.05.2023,-
282,Нисторленд,"Новый город, с уникальной стилистекой", Parado4x,9111,-9704,2000,1142,-1206,23.05.2023,-
283,ТерраристTerraria,База любителя террарии у меня в этой игре 15 минут очень люблю её игра топ,Void_sky_  ,-4630,-18897,700,-569,-2358,26.05.2023,
284,Шоколадный Остров,"Остров-частная тера Nutalen""а ",Nutalen,-1200,-17890,2000,-120,-2236,26.05.2023,
285,Мега база,Жёсткая база игрока MrPlatoch_,MrPlatoch_,2728,-21723,500,348,-2715,26.05.2023,
286,база да да,-,Barsik00_,14210,-6650,500,1782,-843,27.05.2023,-
287,"Фермы _waw""а",Фермы и территория игрока _waw,_waw,-22500,20500,1000,-2812,2562,28.05.2023,-
288,гаваиские астрава,писать я люблю,oTcocy_3A_500AP,-16100,-22289,2000,-2012,-2786,28.05.2023,-
289,Терра Sauri_ и wa1ne,-,Sauri_,13177,-3633,500,1645,-464,28.05.2023,-
290,база левши,база левшиx2,1_CblPOK,2200,-14000,1000,250,-1750,31.05.2023,
292,"Территория игрока
FOXDRE1",-,FOXDRE1,-8627,7814,100,-1078,976,01.06.2023,-
293,База сиськи,"просто моя
база",SharpestFrey,12000,731,500,1500,89,03.06.2023,-
294,HellaTeam,Территория для построек артов,HellaTeam,-4256,21342,256,-542,2667,03.06.2023,-
295,Територрия krllgml,Холст для,krllgml,21248,1153,100,2654,158,05.06.2023,-
296,баza торгового синдиката,тера с деревней и нашими фермами,"M0nkling, pasta_solutions",-14556,-5627,2000,-1819,-703,10.06.2023,-
297,Кристаликс Сити,Город балбесов,"Truban, MimoKonserva",-3957,3112,500,-493,392,11.06.2023,-
298,ТЕРРА,база,,-5951,-8903,1000,-737,-1100,13.06.2023,-
299,*** СИТИ,ГОРОД РУИН,"mayonezik
Shlapnik",-14400,12500,2000,-1795,1563,13.06.2023,-
300,"база влади
мира скрлпики",ну типо база ну да ок круто ну нормальна,VladimirSkripka,24985,-2906,500,3112,-362,15.06.2023,-
301,qqBase,Kuruma base,Kurumaqq,-15685,4310,1000,-1960,538,17.06.2023,-
302,mge /add 2,-,FrontFEED,-16333,-8078,700,-2040,-1010,18.06.2023,-
303,Mayskiy's Base,самая лютая в мире база,YourMayskiy,-3650,6632,64,-463,816,18.06.2023,-
304,Аррия,"небольшая уютная деревушка, расположенная меж гор",SharpestFrey,8092,-2100,400,1014,-262,21.06.2023,-
305,Пандемон,Столица Панд-ратонской империи,Batrich,-2488,14886,500,-298,1860,21.06.2023,-
306,Территория MaxPlayYT_7406,"Закрытая частная территория. Её не нужно заносить на карту СП. Территория находится в городе Шаттл ""Аура"".","MaxPlayYT_7406, AmerigoBattista, chochuspat",3191,7721,15,370,888,20.06.2023,-
307,天將因罪人的血而下雨，沒有人能得救 Xiaomi shop sale 30% Pro ultra boost v2x devirili club penguin  classics VIP all to  1000hp dog foot,https://youtu.be/dQw4w9WgXcQ,LiebILY,-4317,-17690,2000,-580,-2218,22.06.2023,-
308,"база камераменов, сражающихся против скибидитуалетов ",скибиди туалети лохи + сосуни!!! 🔥,mp24class,-7316,-18292,1500,-925,-2298,22.06.2023,-
309,База,-,Viktorovich_,1888,-14751,900,255,-1827,22.06.2023,-
310, Логово Аферистов,Последний Кто Отпустит Руку С Лодки Получит 1000 АРов!,cuteshamilik,-12959,-6381,500,-1632,-800,23.06.2023,-
311,База Mal0nee, База Mal0nee для создания артов и если чо чтоб свалить с мультикора было куда,Mal0nee,5080,24100,400,640,3000,23.06.2023,-
312,АмогусТаун,Хайп епт,GOROD_YRODOV,-17100,6100,500,-2100,760,23.06.2023,-
313,терра левши,терра,SharpestFrey,2500,-11800,500,312,-1475,23.06.2023,-
314,террра мара,маленькая база под землёй [лелуш не сноси],mar3123,-5214,4547,10,-651,568,23.06.2023,-
315,ВОФ,ВОЕННЫЙ ОКРУГ ФУРРИ,"NIKSEMBRO, delmanek, nuclear_01",5748,-13550,300,723,-1686,24.06.2023,-
316,Яма SJBODY,База SJBODY спартак sus 1337 пацаны фури кал,ssigor32,4205,18778,2000,523,2347,24.06.2023,-
317,Ария,стимпанк база,SharpestFrey,-2164,1633,150,-281,1633,25.06.2023,-
318,Бибки,-,alekseev1ch,-2000,2000,700,-250,250,26.06.2023,-
319,Жабытые земли,Жабьи земли. Да.,razdorozhnaia,23000,14500,2000,2875,1815,26.06.2023,-
320,База dedOk21,База крутого перца,dedOk21,10676,70,200,1339,767,26.06.2023,-
321,Крутая база,-,KrePown,-115,21171,300,-15,2654,26.06.2023,-
322,чёкопай,База с артампи,gavnostar32,-13500,-13500,2000,-1680,-1680,28.06.2023,-
323,Частная территория игрока,-,kotik_moy_ZH2000,-15783,17868,300,-1980,2231,29.06.2023,-
324,тера KOMIX_MT,-,KOMIX_MT,-16772,-560,250,-2090,-60,29.06.2023,-
325,территория A,Засекреченные строительные работы,gopatik,-24750,14746,400,-3093,1843,30.06.2023,-
326,Армавир,Дырка Чарамбабера,SeniorCardenas,-14529,2083,650,-1811,296,30.06.2023,-
327,Ось Земли,воссоздание и модернизация долины пшеницы,aki_sato,-270,-20500,1000,0,-2555,30.06.2023,-
328,бум бучес,тера хуилы,_PanDa4ka_,-15650,5770,1500,-1950,731,04.07.2023,-
329,Зимбабве,-,_Fiasco_2016,244,23013,500,14,2888,05.07.2023,-
330,Личная база bekoz_259,-,bekoz_259,-6350,18550,500,-862,2350,05.07.2023,-
331,AF4,-,_AntiLag,8360,15060,500,1045,1882,05.07.2023,-
332,Хорвут,База для проживания,Avel__,16217,21595,2000,2027,2700,06.07.2023,-
333,ArtsbyEroB,Территория для постройки артов EroB_,EroB_,5700,20500,2000,860,2763,08.07.2023,-
334,Underground,территория игрока juzti,juzti,-4100,-1375,350,-513,-166,08.07.2023,-
335,Просто база,база игрока Filat0ov,Filat0ov,−24832,−1568,400,-3104,-196,09.07.2023,-
336,Лукорис,-,MisterDef,-7400,5300,500,-922,666,09.07.2023,
337,Яма Топы,Яма с мехами и фермами 16х16,_TopoTop_,-16704,-18544,1000,-2088,-2318,22.10.2022,https://vk.com/gepe5?w=wall-131054616_87936%2Fall
338,Ромашкавая долина,-,Zhiska,3700,-20200,400,480,-2540,13.07.2023,-
339,Wac Baze,йоу,wacqxxxx,151,14665,200,30,1838,13.07.2023,-
340,Бобросити,-,RomaPe4kay,-16200,814,2000,-2026,98,13.07.2023,-
341,ОвенГрад,-,Rudolfick,-21000,-15000,2000,-2640,-1880,14.07.2023,-
342,База Nutalen`а,-,Nutalen,11512,4759,200,1434,587,14.07.2023,-
343,Яма лососика,-,nya_pokaa,7819,-7876,700,965,-990,15.07.2023,-
344,Траходдром,Самая базированная база на всем сп,Finnhiza,-7500,-15300,700,-8,-1919,15.07.2023,-
345,Деревушка BrinyPiny,-,BrinyPiny,24355,-14805,1000,3044,-1851,15.07.2023,-
346,Грибной отсров под базу,"грибной остров большая терра
",xgrom4iqzz,24431,23881,800,3054,2984,16.07.2023,-
347,nutalena база,-,Nutalen,11864,4862,300,1495,607,17.07.2023,-
348,Glimzeland,Крутой вообще лютый,Gllimze,-406,-7278,75,50,-909,17.07.2023,-
349,MeGaBaZa,Крутое местечко,GOOOTY,1500,-15000,800,187,-1875,17.07.2023,-
350,яма люцика,арты строить,"ra6n, Luc1fer1sk",-22418,430,100,-2798,42,18.07.2023,-
351, Fake Waves,"Самая крутая загородная вилла на берегу моря, как у Тони Старка!",,-8950,6830,300,-1121,850,18.07.2023,-
352,Пруд лягушек,База для компании друзей(3 чела),Zikki32,-9462,1424,400,-1182,177,18.07.2023,-
353,Глубоководная лягушка,Место для строительства арта,Zikki32,-9922,1091,300,-1225,147,18.07.2023,-
354,Меза,Меза под выкапывание ресурсов,Meazeris,9893,-22409,800,1234,-2798,18.07.2023,
355,Зона секса,Жесткая терра чтобы ну арты строить там,cobolt_YT,-22594,323,800,-2822,45,19.07.2023,-
356,База сима и друзей,Ну база для меня  и друзей,simyura_bot,-22000,-10000,1000,-2750,-1250,20.07.2023,
357, База MrKezza,Крутая база игрока MrKezza и его друзей!,MrKezz,11333,19595,2000,1408,2441,20.07.2023,-
359,Школа №7,Школа для РП,Fodnex,6080,0,250,760,0,24.07.2023,-
360,La Caleta,"Город в стиле Tenerife 
",TheOmletic,-4500,-14500,500,-562,-1812,25.07.2023,-
361,яма вельпула,чисто база для себя,"Weltlo, nya_poka",-24480,-23000,1500,-3060,-2875,25.07.2023,-
362,Клаб лютых строителей,"5-6 человек и 7-8 банок пива. Мини игры, вещи бога скай пвп, свадьбы и секс",sergo9r_pro,-2691,22782,500,-336,2847,26.07.2023,
363,Школа №7,РП зона игрока Fodnex,Fodnex,-17617,-171,250,-2191,31,26.07.2023,
364,Альфа-D551,Площалб для рисовки артов и мини базы,NiknRock,24566,-23,180,3083,-7,28.07.2023,-
365,Заповедник дикой природы,-,Paveloyd,-24388,-1225,1500,-3047,-154,29.07.2023,-
366,Поле пониженой гравитаци,-,The_Milkyway_,-5500,185,800,-887,20,29.07.2023,-
367,БСР,личная база для гей оргий бургерное священное регенство,sun_night_,-7971,-6977,150,-1013,-853,30.07.2023,-
368,База Wer_ax,"Просто база, не более",Wer_ax,-18000,15967,500,-2245,1996,02.08.2023,-
369,Частная территория Levonidor,Частная территория игрока Levonidor.,Levonidor,6440,-16280,2000,805,-2035,02.05.2023,-
370,База Муркиза,Ну тупо база игрока,SirMurkies,-3143,-15584,125,-411,-1932,02.08.2023,-
371,"База 
_kema_",База,_kema_,8709,-3472,250,1097,-442,06.08.2023,-
372,СтарГрад,База для ресурсов/Холст для артов,"StarkDoge,
RusterSX",-580,-19344,150,-71,-2420,06.08.2023,-
373,Банановый рай,База игрока,Arm1k_minon,9841,15275,500,1230,1888,07.08.2023,-
374,Дальний,Восток,_Datreydm_,-13900,-5900,750,-1737,737,07.08.2023,-
375,Дрейнгород,-,cantseeyou,-15777,6000,450,-1978,747,07.08.2023,-
376,CbIH_MIYAGI и 1nsept_,-,"CbIH_MIYAGI, 1nsept_",-11500,13800,500,-1420,-1690,08.08.2023,-
377,Пустоград,Деревня неизвестного произхождения,Denatle,7480,-24967,650,935,-3120,09.08.2023,-
378,Misanthrope,Горная местность с выходом в океан,Mr_Mlke_6,-918,-24122,70,-127,-3004,10.08.2023,-
379,База _DEMIRAN_,-,_DEMIRAN_,6257,-5023,357,800,-620,11.08.2023,-
380,popa,popa,Milki25,-6774,7491,250,-853,937,14.08.2023,-
381,Лаба чар стола,Стол и книжные полки страдают фигней,Danik4ek,0,10161,50,0,1271,15.08.2023,-
382,СКП,-,porosy338,17493,17458,2000,2187,2182,16.08.2023,-
383,территория Fizalis`a,"Терра чтоб
жить и не тужть",Fizalis,358,-17599,2000,48,-2208,18.08.2023,-
384,Sugomas,База,Sugomas,-4034,7823,500,-506,979,19.08.2023,-
385,PoisonLand ,-,Poison22cm,13843,434,500,1730,57,20.08.2023,-
386,База al1sher'a,место мечты,al1sher ,2890,-6280,110,361,785,21.08.2023,
387,База игроков JustTarum и LUPAStic,База,"JustTarum
LUPAStic",-3200,-10600,640,-400,-1325,21.08.2023,-
388,Вэмпаир яма,база,0bmorok,7746,24822,200,977,-3117,21.08.2023,-
389,шахтер,мини база на острове для ферм и житья,_Marsik_,3107,-8989,500,398,-1125,21.08.2023,-
390,Территория SeryogaZOMbi,Союз ТСКП,SeryogaZOMbi,-12500,-14000,1000,-1680,-1680,21.08.2023,-
391,Skorvod Land,Личная база/дача игрока Skorvod,Skorvod,-2293,5118,60,-284,629,21.08.2023,-
392,БАЗА СИГМ,<3 <3 <3,LifeSashechka29,-8950,6830,1300,-1121,850,21.08.2023,-
393,Супер мега функциональная база Defaunter_,не остров,Defaunter_,-1461,8927,100,-182,1115,22.08.2023,-
394,МесаотТрарда,Полотна и меса для Трарда,Gatvor,25038,21287,2000,3129,2660,23.08.2023,-
395,Игристая меза,"Меза на 
вершине крутых 
склонах треуголь-
ного острова
",Fititunati,-9854,-25621,500,-1231,-3202,23.08.2023,
396,мезза,просто для ресов,wandering_yelow,-10230,-25332,1000,"-1 278,75","-3166,5",23.08.2023,
397,"Поместье
ТутиНути","Дача игрока Фититунати, с прилугающей мезой и
джунглями",Fititunati,-11000,-25900,1500,-1375,-3237,23.08.2023,
398,Бургерное Священное Регенство Перерождение ,Жесткая база,sun_night_,-26600,-18750,1500,-3320,-2350,24.08.2023,
399, Mont croissant,жёсткая гора в виде croissan,_Larens_ ,-25767,9718,700,-3220,1214,24.08.2023,
400,Кухня,"база игроков Kujosi,
Nehimin","Kujosi,
Nehimin",-17918,-15689,1000x100,-2239.75,-1961.125,24.08.2023,-
401,Бейз,Бейз,kyuko_,26707,-22581,1000,3338,-2822,24.08.2023,-
402,Уга Буга,База,Shkolnik123,131,26451,1500,26,3304,24.08.2023,-
403," SandKing's
Territory",-,Kujosi,-26888,10348,2000,-3361,1923,25.08.2023,
404,База, Терра swetikkyt,swetikkyt,25083,-21547,550,3114,-2686,25.08.2023,
405,Гора Карамельки,"Красивый холмик, с ратсущей сакурой. Рядом с ним
распологается аванпост разбойников.
",BrawlStars_,-25520,18260,333,3200,2280,,
406,Усадьба Alter5,"Крупное владение территории с большой усадьбой, и
всеми прилогающими-
-ся сооружениями.",Alter5,27000,350,750,3375,45,25.08.2023,
407,грибной остров,грибной остров,feboy4ik,-27000,6399,200,-3375,799,25.08.2023,-
408,База K1ner,"Терриротия под базу,
фермы.",K1ner,-3000,-18000,2000,-375,2250,25.08.2023,-
409,ВеликийКитай,"Небольшой
островок с бамбуком 
и пандой под ним 
шахта и большая 
пещера с мхом",NuA4oTak,-25150,0,100,-3143,0,25.08.2023,-
410,Урюпинск,Вишняяяя деревьяяя,Jerasa,-3160,-25200,1500,-790,-6300,25.08.2023,-
411,Крым,НАШ полуостров,"CbIH_MIYAGI,
Verbluyzhonok",3200,-27000,1000,400,-3375,25.08.2023,-
412,Территория RAMZES141 & Plelei,Чо ты бля,RAMZES141,2520,1008,500,313,113,26.08.2023,- 
413,АртМания ✨,Место для создания 3D артов и подобного.,NotQR_,-28000,2600,2000,-3500,325,27.08.2023,-
414,притончик риночки меф,чилл флекс люти дрипчик,rina_mef,-23616,10836,500,-2796,501,28.08.2023,
415,XYZ,база,fliri_lime,-74,-20613,500,0.566,-2570,29.08.2023,
416,Частный Комплекс Варден(ЧКВ),"Территория для хранения большого
кол-ва Варденов",Mityakarpik,-13425,-28050,2000,-1678,-3506,29.08.2023,-
417,Эщкерия,,Endee4ka,3300,13200,2000,320,1480,31.08.2023,
418,база sytosu,типа база,sytosu,3578,-15535,2000,446,-1944,01.09.2023,-
419,ПОНчик,Лютые пончики даб,_Guakamole_,-13025,-30177,2000,-1628,-3772,01.09.2023,-
420,Кожурка,База отпетых мандаринов,_HolanDiversity_,-28588,-1087,2000,-3572,-135,02.09.2023,
421,Территория wa1ne,база просто база,wa1ne,-2792,-377,200,-348,-47,04.09.2023,
422,База wa1ne,Без описания,wa1ne,-7054,6628,100,-878,833,04.09.2023,
423,База maxi_capybara,База игрока maxi_capybara на далеких землях,maxi_capybara,-28767,65,1000,-3600,-5,05.09.2023,
424,ТипсТерра,"Невероятное место для фармма мешкофф, горшкофф, кишкофф.",Tipsik420,-4048,-368,100,-500,-30,08.09.2023,
425,ArtNeSa,Типо база,Salunee,9115,-10900,500,1125,-1350,09.09.2023,
426,PortalEnd,Портал в энд,neikysohigh,8708,-11948,50,1080,-1500,09.09.2023,
427,Военные склады,База,SirTulpa,-1600,9040,500,-205,1123,10.09.2023,
428,"mystical     
base", база игрока ,ZzzxlonWillt,-578,-21475,350,-70,-2668,10.09.2023,
429,скибиди туалет против камера мена сигма 3,База,RANEWALL,-31614,-12307,300,-3951,-1538,10.09.2023,
430,ArtMatiz,Меза кайфовая,Salunee,-31700,5500,1500,-4000,-700,10.09.2023,
431,База игрока Mazich,База игрока Mazich,Mazich,-750,-10311,30,-93,-1288,10.09.2023,
432,Биг Бен,Большая база для ферм и ресов (куплена) ,Defaunter_,-6646,-8286,200,-823,-1035,10.09.2023,-
433,Монумент,"подводный 
монумент ферма",chwai,-28414,-12751,200x200,-3556,-1594,11.09.2023,-
434,бобросити2,-,cwhai,-16822,1463,800,-2101,182,12.09.2023,
435,Грибной биг терра,Грибной биом и сё чисто,MisterPyatorka,5240,36000,700,657,4500,13.09.2023,-
436, база няшки,моя добрая топовая база где будут очень няшные постройки зайки хотари, neftyanka,516,-14094,64,59,-1758,13.09.2023,-
437,Тера Саламандри,-,MrSalamandra,6801,-21235,2000,855,-2640,14.09.2023,-
438,"Личная
тера
 MaxPlayYT_7406",Тупо личная тера под фермы,MaxPlayYT_7406,-26688,-26813,600,-3333,-3360,14.09.2023,-
439,~~База ReDyth~~удалена,"Остров в океане с полотном 
для арта.",ReDyth,-23000,-6325,500,-2873,-790,17.09.2023,-
440,пениснаябаза шайлушай э,-,neikysohigh,8708,-11948,50,1080,-1500,17.09.2023,-
441,эм фто,-,tuntsovaa,586,19110,1300,72,2,17.09.2023,-
442,Базисная База,"хайп, для 
меня одного
",Filagen,-17120,6120,250,-2133,766,17.09.2023,-
443,База Кенеса,Владения Казахстана,BaRMaLeI_,1680,14553,600,217,1825,18.09.2023,
444,Грибник Змея,чудный остров Змея,Kzmey_,-33900,-2950,500,-4206,-341,18.09.2023,-
446,Problemsisity,культ личности,Problemsisit,-15639,-357,1000,-1949,-10,19.09.2023,-
