,,,,,,,,,,
447,"Корзинка
артов",Личная база,Fortit,1602,32329,500,200,4040,19.09.2023,-
448,Долина Ландышей,Грибной остров люти заполненный ландышами,Salatik_Oliver,3480,-32846,500,427,-4123,19.09.2023,-
449,Поезд,Поезд на рельсах,FreshGoat,2814,25694,666,343,3209,20.09.2023,-
450,Фермы Кенлина,территория для города Кенлин,WoonReyz,14000,17000,2000,1750,2125,20.09.2023,-
451,Территория Кенлина,Отдельная территория Кенлина,K7LLY0URS3LF,14000,21000,2000,1750,2625,20.09.2023,-
453,SigmaBASE,V.I.P MEGA УЛЬТРА СИГМА БАЗА СУПЕР МЕГА КРУТЫХ ЧЕЛОВЕК,wa1ne,192,6976,200,35,867,21.09.2023,
454,Galleta city,"Личная территория игрока
_Galleta_",_Galleta_,-52,-34202,1500,-8,-4300,22.09.2023,-
455,Скай,База,SqworeNAL,11224,-31784,2000,1403,-3973,24.09.2023,-
456,"База ""Shishkarik"" ",Территория принадлежит Shishkarik,Shishkarik,15897,-6424,800,1946,-797,24.09.2023,-
457,П.И.З.Д.Е,"Пакости
И
Злодейства
Доктора
Еврентия
База организации
Х.У.Я.",Olof_Andersson,68,32065,2000,0,4011,25.09.2023,
458,База Lecrimer,Остров с полотном для артов и подводной крепостью,Lecrimer,19700,-13000,600,2416,-1622,26.09.2023,-
459,Скибиди водопровод белка великий гинфалор и не превосходный виенти и глава сексастарккок делают бомбом туда сюда собачий волос ,чего блять тут база старкакока а виенти тут главный,V1enti,-969,-19728,200,-121,-2466,26.09.2023,-
460,Бобриный калл,"Мы сигмы, ненавидим женщин. Сигма сигма сигма сигма",Batcof,-5335,-575,100,-655,-80,27.09.2023,-
461,ВБГ,Тру база для шахтёров,MARKALLICA,-792,-33313,1500,-98,-4162,27.09.2023,-
462,Kirito11278,"Собираюсь
использовать
территорию как базу",Kirito11278,2825,37499,2000,355,5689,28.09.2023,-
463,ПопускБаза,"Смешное место, смешнявки всякие
веселье и все такое
морковка и бибизяка.",PLacidLamb,9409,1501,1000,1176,187,07.05.2023,
464,База анкапа,Анкап,Steka24,-5951,-8903,1000,-737,-1100,29.09.2023,-
466,Таежный Оазис,Уютная база в таежном лесу.,Yksam_,-804,-23272,300,-91,-2915,30.09.2023,-
467,COP,Просто база,Arimaqqe,-32838,-7472,1500,-4114,-929,30.09.2023,-
468,Живописная пещера,Тёмный лес и сеть пещер под ним,NETRONREK,-5121,-23393,365,-643,-2938,30.09.2023,-
469,Территория Биткойна,Терра для ферм,fiasXD_He,24250,3900,1000,3030,490,30.09.2023,-
470,база игрока promasterkilersn,база на терретории дервни,promasterkilersn,-5025,-36330,500,-646,-4540,01.10.2023,-
472,Пригоды Маскитолога,"хайп, для 
меня одного
",PiterGrad_furry,-9896,-244,300,-1222,-24,04.10.2023,
473,Кэтгрин,"База кузнеца _MaD_CaT""a",_MaD_CaT_,-16892,419,1000,-2111,46,04.10.2023,-
474,Территория hellmind,Территория для ферм,hellmind,-3500,28000,2000,-437,3500,05.10.2023,-
475,Майами,Территория сильных людей,RetraY_,26514,7084,1500,3314,885,05.10.2023,-
477,Зона пониженной гравитации,Люто база сигмы,The_M1lkyway,-5504,188,700,-685,22,06.10.2023,-
478,Ban04ka,"Територия 
для чила",Banka3629,-7500,28000,2000,-937,3500,06.10.2023,-
479,Рисовые плантации,Рис,t1mem1x,-11500,28000,2000,-1437,3500,06.10.2023,-
480,Терра Диагола,База для комфортного времени,Dyagol,-500,29000,1000,-62,3500,06.10.2023,-
481,Ферма редбулла,Моя база и ферма,REDBULL_men,9243,-223,1000,1128,-27,07.10.2023,-
482,Мясистый пенис,Пепельница короля,Kart04ka,25814,4203,1500,3226,525,07.10.2023,-
483,abs0lute,Место обитания братанчиков,meety2k,-2500,-4500,500,-312,-562,07.10.2023,https://vk.com/wall-131054616_83829
484,База Артмании,"Закрытая база Артмании, войти можно только через основную базу Артмании.",NotQR_,-32000,2600,2000,-4000,325,08.10.2023,-
485,PTwyorker,"Частная база 
игрока. 
В адском стиле.",intewyorker,5240,-260,500,666,-40,09.10.2023,
486,технобаза69,"прикольная база, новострой с ме",vist69,-6,20218,2000,3,2514,09.10.2023,-
487,Яма Типсика,-,AinCube,-4193,-16,128,-520,-16,09.10.2023,-
488,База Мишки,-,_M1shk4_,-15500,28000,2000,-1937,3500,12.10.2023,-
489,HEAVEN TO ME,Территория Mr. Lonely,burdik,601,-14287,120,69,-1782,12.10.2023,-
490,zxcql0p1n4,y4 tru ql0p,legendaPVE,-12000,-8500,400,-1500,-1062,13.10.2023,-
491,база игрока werj_,подземный город,werj_,23850,-11251,1000,2980,-1406,13.10.2023,-
492,дачный посёлок,Здесь находятся дачи так называемых игроков.,ProstoSlogno,17521,-3747,1500,2192,-455,14.10.2023,-
493,дачный посёлок,Здесь находятся дачи так называемых игроков.,Figovy,-11200,15994,500,-1399,2000,15.10.2023,-
494,"Фермы ""Ватикан shop'a"" N1",Лютые фермы для ватикан shop,F0REXS,-3500,28000,2000,-437,3500,19.10.2023,-
495,сексмунд,секс - жизнь ,MISHYTOCHKA,1648,32623,2000,4077,206,20.10.2023,-
496,Рогатый берег,бррр брбрврвр,Franken_Stein,30832,-274,500,3866,-19,21.10.2023,-
497,База глеко клана,База глеко клана и парижа,"____glek____zul,
mibran4ik",-9928,-21950,1000,-1236,-2750,21.10.2023,-
498,Кровавые доки, База в океане,ReDyth,-23000,-6325,1000,-2873,-790,23.10.2023,
499,Гвардия Петра,Личная Терра,Logmen2078,10500,-2400,250,1322,-308,23.10.2023,-
500,VIP-SIGMA1137,"Суетолог-хасаннаторская теретория эщке
ре(ПОЛНЫЙ ЭЩКЕРЕ)",kirushkin_TPEHEP,-3500,28000,2000,-437,3500,23.10.2023,-
501,Бункер Эдельвейс,"Территория
Игрока Furstkeg
База для личного
проэивания",Furstkeg,14184,-3118,250,1773,-392,26.10.2023,-
502,база Vellin,база со складом,Vellin,-36760,-3397,250,-4595,-424,28.10.2023,-
503,Мешок,-,Riktori,27053,-9160,1500,3365,-1136,30.10.2023,-
504,Скуфбург,База скуфов,Pablorich,-1054,-9487,1500,-138,-1177,02.11.2023,-
505,территория _Crepil00_,-,_Crepil00_,616,17373,500,90,2170,04.11.2023,-
506, няняня^^,няняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняняяняняня,Radowi,21126,-831,200,2646,-96,04.11.2023,-
507,ТипоЯма,:Я ебал ваш рот,___Tipo___lew3a,-309,-10296,250,-26,-1280,04.11.2023,-
508,Буба ленд,Буба гэгэг гудка боб,sasibaka123,10500,-2400,250,1322,-308,05.11.2023,-
509,Frostburg,"Личная база на беспощадном
севере.",Yksam_,-19 336,-9000,1500,-2417,-1125,05.11.2023,-
510,Богатый район,-,hai11an,36105,536,500,4506,67,05.11.2023,-
512,Ладно,45,ladno45,-493,25541,500,-72,3191,08.11.2023,
514,Дом престарелых жителей,тут жители пушитстого фембоя,MrNabuy,-36909,3684,500,-4613,461,11.11.2023,-
515,База кормит,База кормит,JustTarum,-19560,2400,720,-2445,300,14.11.2023,-
516,НеЯма,База НеЯмы,База НеЯмы,728,6000,250,95,736,14.11.2023,-
517,Острова УУУ,"Уменьшенная версия
мира УУУ",Night_S_,32000,-36500,1000,3960,-4626,15.11.2023,-
518,База Cera11,База,Cera11,856,-24572,200,103,-3067,16.11.2023,-
519,Дача коровы,"Просто дача. Там уютно, лам
пово, и играет джаз. 
Ну и корова еще живёт",korowwa,5856,-1036,100,732,-129,17.11.2023,- 
520,FarmLand,"трахаем тросник, жителей, и вообще
все что движеться! Если надо чуть 
пофармит иди нахер с нашей базы,
или же пиши в дискорл владельцу",Niguchipvvp,-196,65,26112,-23,3270,17.11.2023,
521,Ядерная подлодка,"Атомная подлодка на вооруже
которой имееться 
ядерное оружие и не
только",Staali_t65,1452,3469,680,200,444,17.11.2023,
522,Терра Лелуша,-,Lelush_,-10,9460,2000,-27,1200,09.07.2023,
523,Realm-Try,База wolframov0422 и gabriel_tea,wolframov0422,-811,-20560,100,-88,2580,18.11.2023,-
524,Фаршмаки,"База легенд, филантропов плейбоев милионеров",Krabushek,-8392,2385,1000,-1049,293,20.11.2023,
525,Эчпочмак,"База легенд, филантропов плейбоев милионеров",ZaGorodYrodoV,3550,-18845,1200,444,-2355,21.11.2023,
526,РосКоп,"Терракотово-песчанный карьер игрока  
Greevele",Greevele,36000,2400,2000,4500,300,21.11.2023,
527,Макарена,мек шмек,J3sats3,-1215,25847,500,-155,3220,21.11.2023,
528,Sperma,Круто,SpermaToxicoznic,-6800,100,500,-850,15,22.11.2023,
529,Бухенвальд,"Хайповый пром центр 
",MrSvetskiy,17581,-5506,200,2206,-704,23.11.2023,
530,Терра игрока VL,Топи терра,______________VL,18180,-900,2000,2270,-115,23.11.2023,
531,буцефалос,-,Mr_Soso4ek,23135,2802,700,2892,341,24.11.2023,
532,Планина,Дача Gorynych,Gorynych,-679,-31815,450,-59,-4000,26.11.2023,
533,терра базизы,ну база базовая база база как бы,_Baziza00_,-6695,6612,500,-800,800,03.06.2022,https://vk.com/gepe5?w=wall-131054616_84351%2Fall
544,База с Правдой,"База организации  
AVTOMOBILIST
",AVTO_Savel,-11250,-9250,2000,-1437,-1156,26.11.2023,
545,Нефилим,"Личная база игрока
Septole",Septole,647,35037,500,80,4379,26.11.2023,
546,Ферма слизи,Ферма слизи,werj_,23170,-9000,1000,2972,-1032,26.11.2023,
547,ПитерЛэнд,Введите описание ,agent2210,-666,37300,500,59,4653,26.11.2023,
548,Хабаровск,"Город, частично повторяющий реальный город Хабаровск",Wer_ax,11050,16150,1000,1367,2022,27.11.2023,
549,гарем геев,"огромный минион огромный чонон и 
огромный окулон 
и еще люблю сару
полсон 
рост алекс воус 182
фуре топи сюда туда
и обратно",Qwennnn,3152,17909,2000,395,2240,29.11.2023,
550,Байкал,-,FlowerRadiance,-8632,-36421,100,-1066,-4541,29.11.2023,
551,Воронеж,База дурачков,Olli_FFX,-21363,-11873,1000,-2657,-1488,06.12.2023,
552,Компашка Ебанутых,Бананчики,iKpoxa,18000,-28000,700,2250,-3500,06.12.2023,
553,клоунада,мой дом типо,ZakBi,23355,5477,2000,2921,687,09.12.2023,
554,чилинтано,-,nikolskiy,-14505,2095,200,-1802,300,10.12.2023,
555,База konorip,-,konorip,37250,4534,1000,4658,564,10.12.2023,
556,S1mpSquad,тут самые крутые живут,"dilerkot, mayonezik",4783,5888,500,560,720,11.12.2023,-
557,Чебуреки,-,SHIMURAEMOADIDAS,-5300,-625,150,-660,-100,12.12.2023,
558,Терра мономри,-,monomri,-22000,14000,2000,-2750,1750,17.12.2023,
559,дом red27legend,-,red27legend,-34438,49,500,-4300,18,17.12.2023,
600,Саратовский Край,-,Dukuy_Muzhik,-16161,12852,800,-2021,1602,29.11.2023,
601,Редволл,Заготовка под город,Manu_Horek,-33820,517,1000,-4222,78,,
602,Болота,Болота со странным святилищем.,Lekholesye,-31651,-115,800,-3956,-19,21.12.2023,
603,Супер секретная база,База игрока mauffy,mauffy,-13689,14782,1000,1698,,22.12.2023,
604,Египет,пись пись,aladin2811,19650,-6900,200,2452,-867,23.12.2023,
605,Old York,Old York,Mr_Gemrani,-19 000,-11 000,2000,-2580,-1335,24.12.2023,
606,ишаклан,хайповая терра база ишаклана,GeForceRTX3060GB,-957,393,300,-130,48,25.12.2023,
607,Холтурия,Полотно для постройки артов посреди океана,holotry,-35330,-639,500,-4405,4,25.12.2023,
608,"3Т_РБ ""ЯСъелДеда""",Терра для лютого всасывания ресиков и производства различного кала.,Jeleiaka,5069,31197,1000,641,3893,27.12.2023,
609,База Caukoo,База Caukoo,Caukoo,-17000,-1950,1000,-2111,-248,28.12.2023,
610,Тэлумбэ,Грибной район Амбенна,Lotli,12683,10535,200,1585,1316,28.12.2023,
611,факамакака большая улыбака,факамакака грустная улыбака,fakamakaka,-37498,39,1500,-4687,8,29.12.2023,
612,База krytoi_eblan,база для ферм и хранения ресов,krytoi_eblan,20870,3376,1500,2615,417,02.01.2024,
613,База MrsFlyfi,секретная база,MrsFlyfi,-27421,-280,300,-3424,-32,02.01.2024,
614,БаЗа,Я тута живу да,VenSee,6200,8350,2000,775,1044,04.06.2022,
615,Rarla's land,42,Rarka,5897,9797,200,742,1225,03.01.2024,
616,Соления в тазике,База гениев,KuberBR,29000,12000,1500,3637,1512,05.01.2024,
617,База-купол,Личная база со всеми удобствами,Skadi2706,-6774,21231,600,-850,2660,06.01.2024,
618,citepenis,база для души,liquor4k,28470,857,2000,3556,107,07.01.2024,
619,Резиденция Раслобона ака НАША РАША 2.0,Ну типа база с фермами и постройками просто ноувей EZZ,3orka,-748,-7789,600,-79,-970,10.01.2024,
620,Гваделупа-53,"Пожилая база двух стариков, 
созданная для люто
го кайфа и раслабона",2025Nermis,-2600,1900,450,-325,237,10.01.2024,
621,Рае,Маленькая база,Frigo_,829,-19084,200,97,-2385,13.01.2024,
622,Арчи,Тут живут симпы и никого больше,"senpa_moy_kotik
cubens_moy_kotik",31362,3048,1000,3920,376,20.01.2024,
623,Мира,Хранение ресурсов,,-36211,782,500,-4531,95,21.01.2024,
624,База Торфяник Флоу,-я жаба,,21600,23500,1000,2700,2938,22.01.2024,
625,Фазенда ZV,Промышленная фазенда за Zолотой Vетке,Unkodero,-2222,8444,200,-277,1055,26.01.2024,
626,Фазенда KV,Чилловая фазенда на Kрасной Vетке,Unkodero,-2700,-9111,200,-337,-1138,26.01.2024,
627,Ezo,Приватая база,nerick,-460,2790,400,-60,360,26.01.2024,
628,Скамск,База базированныз базовичков,Unkodero,-2626,-6211,300,-330,-750,26.01.2024,
629,Дача 1quartix1,Маленький островок,1quartix1,-244,8262,300,-23,1034,28.01.2024,
630,Водная яма,водная яма,HACPAL13MoyKotik,-12687,3858,500,-1586,482,28.01.2024,
631,Домик goga_giga,Квадратик,goga_giga,18000,-17300,400,2250,-2162,28.01.2024,
632,Мухосранск,здесь обитают мухи,Qwensky,7109,-26204,2000,-3275,-888,29.01.2024,
633,База Отдыха ,-,Deaze__,28207,512,500,3526,65,,
634,Мейнтекри,Город Мышкин-Град волшебный наш!,APCHItik,-9413,-104,1200,-1180,-14,02.02.2024,
635, Ezo,Приватная база.,nerick,8160,2920,400,1020,373,05.02.2024,
636,Крутая территориииа,Очень крутаааааа!,Budashka,-311,29016,400,-32,-3623,05.02.2024,
637,База vanend,Территория для ферм и построек.,vanend,3960,6392,152,500,780,08.02.2024,
638,Бездна,тут скоро будет город,fliri_lime,-10000,1460,250,-1265,178,08.02.2024,
639,Made in heaven,Место для хайпа,xeruwim,-19800,-6700,1000,-2460,-840,09.02.2024,
640,NevaRuSs,-,NevaRuSs,-11876,2263,2000,-1488,277,10.02.2024,
641,Фабрика Мурмурк,Запретная территория по изготовлению разного вида материалов,_MaD_CaT_,36864,-24996,2000,4606,-3118,14.02.2024,
642,Фабрика Мурмурк,Фабрика по изготовлению всего и вся,_MaD_CaT_,16500,14500,399,2062,1812,16.02.2024,
643,База HCDAP,-,lleeska_my_kotik,1134,11929,500,141,1488,16.02.2024,-
644,ПИК,Запретка,A512,33520,22975,315,4190,2870,16.02.2024,-
645,П.Э.П.C,Территория П.Э.П.C,Spilya,-15984,-26730,2000,-3341,-1998,17.02.2024,
646,ТДП,эщкерее,d1kknya,33351,-554,1500,4169,-65,18.02.2024,-
647,#Q1,-,Quan1ks,-4693,-35111,1000,-586,-4388,18.02.2024,
648,Горы красивые,Крутая зона ферм,Budashka,-1290,-27761,500,-586,-4388,12.02.2024,
649,О тут пляж,Тут ферма жабок,Budashka,-1501,-29289,400,-188,-3661,18.02.2024,
,,,,,,,,,,
651,Деревня бумбум,Объединение зумеров для строительства ферм  других благ для прикольной жизни,_zoning_,-25516,-834,600,-3187,-108,20.02.2024,
652,База Клоуна,,Clown_Leader,-18621,4313,400,-2320,539,20.02.2024,
653,Стрингленд,База HypeTop,HypeTop,-9629,21841,600,-1188,2729,20.02.2024,
654,терра lamamow'а,,lamamow,-4192,-17,128,-520,-17,20.02.2024,
655,ГорГород 2,ЗАПРЕТКА!!!!,kanfi_,-3200,-6200,100,-400,-775,21.02.2024,
656,база ougiiuu,я живу на острове.. крута!,ougiiuu,1655,-14480,2000,206,-1820,23.02.2024,-
657,Перетория,"Территория, состоящая из полотен для артов",moreprodyctZifir,-1646,11903,2000,300,300,23.02.2024,-
658,мапартики квартикса,место для постройки самых хайповых артов,1quartix1,2431,27643,600,304,3437,24.02.2024,-
659,секретная дача веозли,,Veozly,-1624,472,500,-203,59,24.02.2024,-
660,Purgatorium,"Полуразрушенный
город в постсоветской
тематике",Wh1t3cross,-2080,80,250,260,15,24.02.2024,-
661,База Сахара,Сасать + лежать,Sugarkiller423,10944,268,1000,1375,33,24.02.2024,-
662,Орава,"Орава - база двух людей
Marabr3 и
Kiroshgenka
на ней будут хранит
ь ресурсы и возможн
о фармилки для зараб
отка аров",Marabr3,-7200,-2020,300,-900,-250,24.02.2024,-
663,BasedMen base,База мужыцких мужчин,ChayHot,-8800,-18500,1500,-2310,-910,15.01.2024,-
664,D&D,Тупо база и игры D&D,green_org,-3493,-1699,300,-431,-218,26.02.2024,-
665,Комплекс лямбда,Территория для личного использования,_DuckFry_,-23059,21508,2000,-2884,2689,27.02.2024,
666,Гнездовье,Для базы,ARchieriUS,15947,-26710,2000,3341,-1990,28.02.2024,
667,База игрока legzy_,"База которая в будущем превратится в город
",legzy_,-4500,18000,500,-565,2240,29.02.2024,
668,IA CHUIU KROV 3,-,VZKILLTURBO2000,-782,9196,100,-111,1161,29.02.2024,
669,База Slizni,База посреди вишни и полян,Slizni,4194,28243,500,524,3530,29.02.2024,
670,zalupa,-,nikolskiy,-8958,6835,600,1143,850,02.03.2024,-
671,Outer Heaven Motherbase,Сеть вышек в океане для военных целей,owenboxek,-1400,-10245,500,-177,-1286,03.03.2024,-
672,???,-,_AntiLag,-30500,-25500,1500,3812,3187,03.03.2024,-
673,База ugly_Baraka,"Личная база игрока ugly_Baraka 
для ферм и личного пользования",ugly_Baraka,-387,30919,1000,-41,3852,04.03.2024,-
674,ферма чернил 2210,"ферма чернил запретка
",agent2210,-276,35950,200,-45,4502,07.03.2024,-
675,Тютютютю,-, 1mf_,-30125,-700,1000,3765,-100,07.03.2024,
676,"Терра лехи
навального",Штаб навального(ФБК(Дворец путина,Lesha_Navalniy,-21600,-112,1000,-2700,-14,07.03.2024,
677,Ферма аров,ферма аров,"Fremya
MoreprodyctZifir",2400,12000,200,300,1500,09.03.2024,-
678,Ещё одна терра ,ещё одна ферма,Budashka,-2040,-27821,512,-241,-3445,,
679,Дуррабейз,САМОЕ ЛУЧШЕЕ МЕСТООО В МИРЕЕ ХАЙП,dyrachito,1822,-37122,250,227,-4640,10.03.2024,
680,DibDark,лучшащая крепость на сп),artikbuz,371,35,2000,14761,6615,11.03.2024,-
681, Паучий парк,"Резиденция Vijihro, и по совместительству огромный уютный парк, посвященный моей возлюбленной!",Vijihro,15000,-2500,1400,1880,-305,12.03.2024,
682,Фармильня,Закрытая территория ферм,V1LaN,8388,-12851,2000,1048,-1607,04.12.2023,
683,карпик,det er ingen gud,Salatik_Oliver,4260,-33205,700,532,4152,02.01.2024,-
684,База моя,-,0_MAYTE_0,-29500,36000,1500,-3690,4500,16.03.2024,
685,Личная Гавань,Личная база,Dimint,32000,-6100,1000,4030,-720,17.03.2024,-
686,Зимняя кибитка,Обычная холостятская база находящясь в зимнем,mrKAMEH,-1562,18155,150,-195,2269,17.03.2024,
687,Лесорубка ТФ2,Копай бревно покупай улучшения.,mrKAMEH,-906,-7885,250,-113,-985,18.03.2024,
688,Свалка,"Свалка, мусор, ржавчина и трупы",rzhaviykvadrat,896,-6627,1000,111,-834,14.03.2024,
689,ЧВК Еблан,Просто база в которой мы собираемся обустроиться и кайфовать с моими друзьями,n0werty,341,-15019,245,40,-1879,20.03.2024,
690,Rosenbourg,"Уютный западноевропейский
городок, строящийся на принципах всенародной демократии.",MrShnyaga,17587,-6350,875,2228,-846,22.02.2024,
691,База лютого хайпа,Жить буду ферма строить буду ,TverdniyZnak,255,-33600,500,40,4200,23.03.2024,-
692,Великая стройка,"Задел на город, стройка",PaIach,-31700,-3800,2000,-3960,475,23.03.2024,-
693,PLOTINO BOBRA,...,mankabober,1400,-35660,1000,183,-4469,23.03.2024,-
694,ФазерИндестри,Ферма спрутов,Fazer__,-20327,2808,100,-2546,344,24.03.2024,-
695,Полуостров romon4ik,"Полуостров с прилегающей рекой и
частью океана",Mozzit           bobrin0,773,6286,250,104,777,25.03.2024,-
696,Абу_Даби,база жеская,Abu_Dabi21_iz_GY,-15966,-98,2000,-2001,-18,25.03.2024,-
697,qurouq,База йоу,qurouq,-23345,910,2000,-2912,106,25.03.2024,
698,Фармилка опита,"Ну типа построил ферму опыта, хочусделать её официал-ьной",NEKTORUN,-1325,18383,30,-150,2307,26.03.2024,
699,Ферма мешков,-,NEKTORUN,-1279,18812,200,-147,2359,27.03.2024,-
700,"ХАЙПУЛЯНДИЯШ,М,К,В",КРУТАЯ ТЕРА( ЗАПРЕТКА),VerDN,-10922,-192,600,-1373,-19,27.03.2024,
701,база нейлай,основная база neylayn,neylayn,7104,7743,160,946,994,28.03.2024,
702,Гига тера под артики,"Чиста под арты, шоб ари хаслить с олухов",kAmEnNiY tonechkaaaa,-385,-11204,2000,-51,-1408,30.03.2024,-
703,Запретка TheKrav,-,TheKrav,249,-37423,500,39,-4692,01.04.2024,
704,База-основа,"Фермы, склад и прочее",Mr4ay,-36000,-36000,2000,-4500,-4500,04.04.2024,-
705,Ferma,основная база,Antarctic19,1300,26100,1500,165,3260,04.04.2024,-
706,Територрия Шулиона,Ну это база для ферм там всяких и я там домик построю,MasterShulion,6770,-34870,1650,846,-4358,05.04.2024,-
707,td98,База td98,tuid_,10080,-9601,250,1400,-1200,05.04.2024,-
708,"""OTS""",Тут Единороги пьют пиво,razdorozhnaia,5800,-5800,260,707,-727,06.04.2024,-
709,Based Base,Ultra pro gigachad sigma база игрока FriendlyCreeperr,FriendlyCreeperr,-3000,-36500,1500,8686,-318,07.04.2024,-
710,MasterShulion Base,Моя жесткая База на которой фермы и мой портал на мою жестк,MasterShulion,7280,34824,500,910,-4353,07.04.2024,-
711,Нови База,Нови База,maxi_capybara,-2830,-13238,850,-353,-1703,07.04.2024,-
712,Мышкинская терра.,Территория для личных нужд города Мышкин.,zxCy4eHok APCHItik,-30404,-19384,2000,-3800,-2371,07.04.2024,-
713,тера M0delLa,топ кру,M0delLa,-3544,-1936,300,-443,-242,07.04.2024,
714,TikTokHouse,Запретка,mmmmmik,482,5623,200,50,700,09.04.2024,-
715,Территория bloggigo1,"территория с базой и постройками, фермами bloggigo1",bloggigo1,460,26313,200,57,3289,10.04.2024,
716,Ыаыаэв,Тут есть место в океане где всего на 1 блок равнина,Budashka,-6327,-32259,1000,-781,-4029,11.04.2024,
717,База Капустика,Огород,kapystik,-33490,3732,-4186,-4186,465,16.04.2024,
718,Территория BellaDNCat,Территория Жеских Друзей,BellaDNCat,4000,8400,500,499,1050,15.04.2024,
719,Типо тера,Яма,Super_Klepa,5297,-10683,600,649,-1326,17.04.2024,
720,Складовская,-,Jake81i,17522,1449,250,2190,181,21.04.2024,
721,Домик,Тихий уголок про который никто не узнает...,Evka0vevkov1ch,22500,-24500,2000,2812,-3062,21.04.2024,
722,Треп-хата Мефа,Жесткий блядушник,_Mef_,-47,9008,200,-16,1128,24.11.2023,
723,Багровая база,База общежитие для нуждающихся,Hi_Haiden,-8149,-1098,38,-1019,-137,23.04.2024,
724,TNS,каво? деда,BetaTrail,-4862,21657,1000,-616,2700,25.04.2024,
725,ЗВ 3000,запретка,semeone,23513,-4927,500,2905,-635,28.04.2024,
726,Башня Магов,"База LKGF и _FluruS_
выполненная в стиле
2-ух магических башен",LKGF,494,-1141,100,3,-94,28.04.2024,
727,Backrooms,"бесконечные коридоры, много 
уровней... база в стиле закулисья",ArtBo,33673,1618,200,4219,209,03.05.2024,
728,LanlokBase,База Lanlok'а. Хотя скорее склад,Lanlok,-4317,-465,100,-540,-56,29.04.2024,
729,Кур-де-Фонтейн ЮЗ+,"Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости",DizWasTaken,-20000,26000,2000,-2500,3250,05.05.2024,
730,Тайтон,"Город в стиле ""Звёздные войны"" Планета на которой появились первые джедаи и так же здесь основали ""Орден джедаев""",_Koja,1000,28500,1000,125,3560,06.05.2024,
731,ZомбиOптимусVлад,чекай название,Vakinjopas,11908,4391,500,1488,549,06.05.2024,
732,Вильсант,Моя база. Большая часть находится в незере. ПРИЗНАЮ ТЕРРИТОРИЮ АДА В РАДИУСЕ 250 БЛОКОВ (2000 : 8) МОЕЙ. И ХАЙПЕРЛУПА ТОЖ МОЯ.,Skorvod,11200,21600,2000,1400,2700,06.05.2024,
733,База Тори,"Да здравствует особняки мени Тори, довольно большой и дорогой. 52 нашим",Lookkiller,16441,1641,2000,2061,202,06.05.2024,
734,"Каменоломня ""TF2""","Копай камень
   Сдавай камень
  Получай ары или
 другие штуки",mrKAMEH,3400,-7500,300,425,-937,08.05.2024,
735,Пупупу,Вау чё реал внатуре,EterN1aLMoyKotik,-5347,-11224,1000,-668,-1402,08.05.2024,
736,Лаборатория Jabi,"Лучшая яма, которую когда либо

видел белый свет. 

Аве Верден!

",Jabochca_Soviet,-19880,-3815,2000,-2500,-12,09.05.2024,
737,Базамбосс Slaut1x,Место жительства соло тюбика,Slautix,-34262,4206,1500,-4285,547,08.05.2024,
738,Хайп База," Огромнй элитный дом,
 много автоферм,
 есть ферма со спавнерами,
 большая территория
для простора мыслей",mrkorzhik,-24683,-3792,1000,-3086,-470,10.05.2024,
739,ТипоЯма,Жеские забиверы с 2b2t,Super_Klepa,4280,240,1000,525,86,11.05.2024,
740,База L0L0R,База,L0L0R,-22700,-33610,1000,-2835,-4200,12.05.2024,-
741,Новоперделкино,-,bogdannewbalance,2550,-16970,500,318,-2123,12.05.2024,
742,_VolTar_,-,_VolTar_,-28812,-6284,500,-3617,-773,12.05.2024,
743,База Грибвиля,Личная база игрока 1ev_,1ev_,11500,5300,500,1440,660,13.05.2024,
744,Дача,дача флири лайма,fliri_lime,12407,-26037,1000,1550,-3254,13.05.2024,
745,Аванпост - Ноль,"Место промышленной добычи ресурсов, находящиеся под контролем Колонии ""B.C.243.a",Mr_Zabeiaka,-30706,-9608,2000,-3838,-1201,14.05.2024,
746,Огород,Просто личная база игрока kapystik,Огород,-24154,-3274,1000,-3019,-408,17.05.2024,
747,Земли Вечной Зимы,Терра для ферм Центра Комфорта,MisterDef,-35500,8200,2000,-4437,1025,19.05.2024,
748,Хасл M0delLa,тера M0delLa для хасла,M0delLa,-25294,-6417,1000,-3145,-800,20.05.2024,-